"ID","Item","Company","Quantity","Currency","Conversion Rate","ID (Items)","Item Code (Items)","Qty (Items)","Rate (Items)","UOM (Items)"
"","","","","","","9ukl45agfe","Black Tea Powder",40.0,1.8,"Gram"
"","","","","","","9ukln8ol5g","Thai Tea Flavor",30.0,1.6,"Gram"
"","","","","","","9uklqlpps7","Water",13.5,8.0,"Litre"
"BOM-PB_Acai-001","PB_Acai","PCS Healthy Creation",42.0,"THB",1.0,"arh5hp9vpf","Plant Protien",1300.0,0.33,"Gram"
"","","","","","","arh5p2e87a","Glycine",500.0,0.08,"Gram"
"","","","","","","arh50cerk5","Fiber Creamer",100.0,0.16,"Gram"
"","","","","","","arh5imi825","Coconut Oil",200.0,0.07,"Gram"
"","","","","","","arh5b6vmeq","CMC",15.0,0.17,"Gram"
"","","","","","","arh5nnmu7s","Xanthan",15.0,0.14,"Gram"
"","","","","","","arh5f5e8t6","Strawberry Flavor",50.0,0.88,"Gram"
"","","","","","","arh5u0nq3i","Pink Color",5.0,0.22,"Millilitre"
"","","","","","","5s1q49t5l4","Blueberry Squash",760.0,0.09,"Millilitre"
"","","","","","","5s1qotfkkn","Water",13.5,8.0,"Litre"
"","","","","","","5s1qdsg21t","Malic",10.0,0.22,"Gram"
"","","","","","","5s1qu8nvsj","Citric Acid",10.0,0.08,"Gram"
"BOM-PB_Cacao-001","PB_Cacao","PCS Healthy Creation",42.0,"THB",1.0,"3ml8a7jgnk","Plant Protien",1300.0,0.33,"Gram"
"","","","","","","3ml84hhujp","Glycine",500.0,0.08,"Gram"
"","","","","","","3ml8qb0spj","Fiber Creamer",100.0,0.16,"Gram"
"","","","","","","3ml8jrob6n","Coconut Oil",200.0,0.07,"Gram"
"","","","","","","3ml8b30i77","CMC",5.0,0.17,"Gram"
"","","","","","","3ml82qm8dl","Xanthan",12.0,0.14,"Gram"
"","","","","","","3ml836lenc","Vanilla Flavor",15.0,0.81,"Gram"
"","","","","","","3ml8odqmgo","Sucralose",0.8,0.95,"Gram"
"","","","","","","3ml8nn7tpe","Cacao Powder",400.0,0.3,"Gram"
"","","","","","","3ml8h04hkv","Chocolate Flavor",30.0,1.02,"Gram"
"","","","","","","3ml85gqbrt","Water",13.5,8.0,"Litre"
"BOM-PB_Natural-001","PB_Natural","PCS Healthy Creation",42.0,"THB",1.0,"2kcbo10jmh","Plant Protien",1300.0,0.33,"Gram"
"","","","","","","2kcbiq39lr","Glycine",500.0,0.08,"Gram"
"","","","","","","2kcb862ben","Fiber Creamer",100.0,0.16,"Gram"
"","","","","","","2kcbp4md1o","Coconut Oil",200.0,0.07,"Gram"
"","","","","","","2kcb7lhei4","CMC",5.0,0.17,"Gram"
"","","","","","","2kcbkugs3n","Xanthan",12.0,0.14,"Gram"
"","","","","","","2kcbepvdsc","Vanilla Flavor",15.0,0.81,"Gram"
"","","","","","","2kcbh4ri37","Water",13.5,8.0,"Litre"
"BOM-CK_ThaiTea-001","CK_ThaiTea","PCS Healthy Creation",30.0,"THB",1.0,"8gkoqppq4q","Boiled Chicken",4500.0,0.15,"Gram"
"","","","","","","8gkp1b3edc","Glycine",800.0,0.08,"Gram"
"","","","","","","8gkprm2frn","CMC",20.0,0.17,"Gram"
"","","","","","","8gkp00p1cp","Xanthan",20.0,0.14,"Gram"
